Name,Path,Type,Schedule,Priority,Has People.py,Has Init.py,Has Requirements,Size,Tested,Status
Ca Nb,scrapers/scrapers-ca/ca_nb,provincial,weekly,high,True,True,False,small,True,working
Ca On Kingston,scrapers/scrapers-ca/ca_on_kingston,provincial,weekly,high,True,True,False,small,True,working
Ca On Lambton,scrapers/scrapers-ca/ca_on_lambton,provincial,weekly,high,True,True,False,small,True,working
Ca Bc New Westminster,scrapers/scrapers-ca/ca_bc_new_westminster,provincial,weekly,high,True,True,False,small,True,working
Ca On Windsor,scrapers/scrapers-ca/ca_on_windsor,provincial,weekly,high,True,True,False,small,True,working
Ca Qc Quebec,scrapers/scrapers-ca/ca_qc_quebec,municipal,monthly,high,True,True,False,small,True,working
Ca Mb,scrapers/scrapers-ca/ca_mb,provincial,weekly,high,True,True,False,small,True,working
Ca Qc Saguenay,scrapers/scrapers-ca/ca_qc_saguenay,provincial,weekly,high,True,True,False,small,True,working
Ca Qc Senneville,scrapers/scrapers-ca/ca_qc_senneville,provincial,weekly,high,True,True,False,small,True,working
Ca Pe Charlottetown,scrapers/scrapers-ca/ca_pe_charlottetown,municipal,monthly,medium,True,True,False,small,True,working
Ca Bc Langley,scrapers/scrapers-ca/ca_bc_langley,provincial,weekly,high,True,True,False,small,True,working
Ca Ab Edmonton,scrapers/scrapers-ca/ca_ab_edmonton,municipal,monthly,high,True,True,False,small,True,working
Ca On Brampton,scrapers/scrapers-ca/ca_on_brampton,municipal,monthly,medium,True,True,False,small,True,working
Ca On Huron,scrapers/scrapers-ca/ca_on_huron,provincial,weekly,high,True,True,False,small,True,working
Ca Qc Mercier,scrapers/scrapers-ca/ca_qc_mercier,provincial,weekly,high,True,True,False,small,True,working
Ca On Grimsby,scrapers/scrapers-ca/ca_on_grimsby,provincial,weekly,high,True,True,False,small,True,working
Ca On Pickering,scrapers/scrapers-ca/ca_on_pickering,provincial,weekly,high,True,True,False,small,True,working
Ca Qc Saint Jean Sur Richelieu,scrapers/scrapers-ca/ca_qc_saint_jean_sur_richelieu,provincial,weekly,high,True,True,False,small,True,working
Ca Qc Sainte Anne De Bellevue,scrapers/scrapers-ca/ca_qc_sainte_anne_de_bellevue,provincial,weekly,high,True,True,False,small,True,working
Ca Ab Wood Buffalo,scrapers/scrapers-ca/ca_ab_wood_buffalo,provincial,weekly,high,True,True,False,small,True,working
Ca Yt,scrapers/scrapers-ca/ca_yt,provincial,weekly,high,True,True,False,small,True,working
